x, y, z
0, 0, 1337.45679
0.99998, 0, 1337.48181
1.99997, 0, 1337.49756
3.00003, 0, 1337.50330
4.00002, 0, 1337.49902
5, 0, 1337.48816
5.99998, 0, 1337.47498
6.99997, 0, 1337.46350
8.00003, 0, 1337.45691
9.00002, 0, 1337.45764
10, 0, 1337.46741
11, 0, 1337.48743
12, 0, 1337.51794
13, 0, 1337.55872
14, 0, 1337.60950
15, 0, 1337.67029
16, 0, 1337.74084
17, 0, 1337.82007
18, 0, 1337.90637
19, 0, 1337.99768
20, 0, 1338.09241
21, 0, 1338.18860
22, 0, 1338.28271
23, 0, 1338.37073
24, 0, 1338.44958
25, 0, 1338.51990
26, 0, 1338.58276
27, 0, 1338.63806
28, 0, 1338.68359
29, 0, 1338.71667
30, 0, 1338.73572
31, 0, 1338.73828
32, 0, 1338.71997
33, 0, 1338.67590
34, 0, 1338.60327
35, 0, 1338.50659
36, 0, 1338.39319
37, 0, 1338.26929
38, 0, 1338.13953
39, 0, 1338.00562
40, 0, 1337.86731
41, 0, 1337.72241
42, 0, 1337.56628
43, 0, 1337.39380
44, 0, 1337.20154
45, 0, 1336.99011
46, 0, 1336.76257
47, 0, 1336.52100
48, 0, 1336.26660
49, 0, 1335.99915
50, 0, 1335.71729
51, 0, 1335.41870
52, 0, 1335.09985
53, 0, 1334.75647
54, 0, 1334.38269
55, 0, 1333.97107
56, 0, 1333.51257
57, 0, 1332.99683
58, 0, 1332.41272
59, 0, 1331.75134
60, 0, 1331.00928
61, 0, 1330.18579
62, 0, 1329.28003
63, 0, 1328.29004
64, 0, 1327.21191
65, 0, 1326.03870
66, 0, 1324.76147
67, 0, 1323.37134
68, 0, 1321.86121
69, 0, 1320.22913
70, 0, 1318.48291
71, 0, 1316.63513
72, 0, 1314.69958
73, 0, 1312.68884
74, 0, 1310.61267
75, 0, 1308.47644
76, 0, 1306.28235
77, 0, 1304.03113
78, 0, 1301.72290
79, 0, 1299.35925
80, 0, 1296.94580
81, 0, 1294.48926
82, 0, 1291.99573
83, 0, 1289.47034
84, 0, 1286.91724
85, 0, 1284.34167
86, 0, 1281.74780
87, 0, 1279.13879
88, 0, 1276.51672
89, 0, 1273.88318
90, 0, 1271.24121
91, 0, 1268.59375
92, 0, 1265.94214
93, 0, 1263.28711
94, 0, 1260.63062
95, 0, 1257.97852
96, 0, 1255.33777
97, 0, 1252.71460
98, 0, 1250.11462
99, 0, 1247.54333
100, 0, 1245.00891
101, 0, 1242.51978
102, 0, 1240.08398
103, 0, 1237.70898
104, 0, 1235.40295
105, 0, 1233.17639
106, 0, 1231.03967
107, 0, 1229.00195
108, 0, 1227.07263
109, 0, 1225.26636
110, 0, 1223.61157
111, 0, 1222.14355
112, 0, 1220.89978
113, 0, 1219.91370
114, 0, 1219.20520
115, 0, 1218.76831
116, 0, 1218.58728
117, 0, 1218.64795
118, 0, 1218.93970
119, 0, 1219.44873
120, 0, 1220.14539
121, 0, 1220.99573
122, 0, 1221.96924
123, 0, 1223.04224
124, 0, 1224.19897
125, 0, 1225.43311
126, 0, 1226.74377
127, 0, 1228.13257
128, 0, 1229.60132
129, 0, 1231.15027
130, 0, 1232.77466
131, 0, 1234.46777
132, 0, 1236.22229
133, 0, 1238.03088
134, 0, 1239.88635
135, 0, 1241.78052
136, 0, 1243.70508
137, 0, 1245.65222
138, 0, 1247.61426
139, 0, 1249.58557
140, 0, 1251.56299
141, 0, 1253.54468
142, 0, 1255.52942
143, 0, 1257.51526
144, 0, 1259.50049
145, 0, 1261.48279
146, 0, 1263.46008
