x, y, z, k, l
0, 0, 218702.578, -47837.0352, -20175.7773
0.99998, 0, 253766.328, -33133.2812, -15662.8027
1.99997, 0, 292153.719, -16818.5801, -12034.3809
3.00003, 0, 332339.531, 631.179504, -9537.85352
4.00002, 0, 373693.531, 19012.8555, -8189.44971
5, 0, 415866.594, 38190.3633, -7918.14111
5.99998, 0, 458636.094, 58014.4258, -8600.13965
6.99997, 0, 501928.938, 78245.1484, -10041.4121
8.00003, 0, 546050.062, 98365.8203, -11884.1562
9.00002, 0, 592566.062, 116927.797, -13253.5391
10, 0, 639359.688, 135205.234, -14737.4600
11, 0, 685567.750, 153541.812, -16407.8867
12, 0, 730700.375, 171999.875, -18176.7812
13, 0, 774406.125, 190532.859, -19902.4785
14, 0, 816417.125, 209027.219, -21445.0391
15, 0, 856582.500, 227284.312, -22734.2227
16, 0, 895027.500, 244922.016, -23922.6660
17, 0, 932671.000, 261045.844, -25832.5156
18, 0, 973118.875, 273035.438, -31551.7539
19, 0, 1012053.12, 283364.250, -37555.7305
20, 0, 1047871.00, 292791.156, -42622.8594
21, 0, 1079828.25, 301582.438, -46304.0117
22, 0, 1107606.50, 309864.875, -48616.8633
23, 0, 1131360.88, 317787.062, -50226.6914
24, 0, 1152237.88, 325706.125, -53254.2070
25, 0, 1174122.50, 334654.219, -63895.2422
26, 0, 1210048.00, 347975.562, -101990.461
27, 0, 1246243.88, 362218.281, -147402.344
28, 0, 1278114.62, 376254.312, -193633.281
29, 0, 1303874.00, 389671.625, -238322.812
30, 0, 1322892.25, 402369.406, -280768.875
31, 0, 1335391.38, 414511.688, -321432.219
32, 0, 1342875.75, 426712.219, -362484.906
33, 0, 1349743.62, 440640.812, -409971.281
34, 0, 1368409.38, 460928.250, -480748.031
35, 0, 1437956.38, 502093.344, -627817.625
36, 0, 1519461.62, 549700.125, -798207.500
37, 0, 1600655.50, 599187.375, -975025.562
38, 0, 1677181.12, 648923.938, -1152067.38
39, 0, 1747281.12, 698261.438, -1326729.25
40, 0, 1809745.62, 746823.250, -1497481.12
41, 0, 1862336.75, 794045.125, -1662366.75
42, 0, 1898709.75, 838398.750, -1816700.88
43, 0, 1898147.00, 874897.188, -1945874.00
44, 0, 1882202.50, 908780.250, -2064683.25
45, 0, 1858017.00, 941791.312, -2177881.25
46, 0, 1828396.25, 974589.438, -2287146.25
47, 0, 1794521.38, 1007354.00, -2392906.25
48, 0, 1756683.88, 1039843.44, -2494724.00
49, 0, 1714179.12, 1071055.75, -2590874.00
50, 0, 1664085.50, 1097973.00, -2676419.75
51, 0, 1596415.12, 1110901.38, -2735898.50
52, 0, 1521504.38, 1119616.38, -2784499.50
53, 0, 1442735.75, 1127260.75, -2826973.75
54, 0, 1361426.62, 1134995.38, -2864954.00
55, 0, 1278153.12, 1143240.00, -2898903.75
56, 0, 1193125.88, 1151987.12, -2928613.00
57, 0, 1106200.62, 1160706.25, -2953058.00
58, 0, 1016543.00, 1167737.38, -2969481.00
59, 0, 921426.625, 1168259.25, -2970284.25
60, 0, 811791.688, 1146822.75, -2931596.25
61, 0, 697138.500, 1119232.50, -2877434.00
62, 0, 580667.500, 1090675.25, -2815573.25
63, 0, 463721.875, 1063155.62, -2748944.25
64, 0, 347022.125, 1037489.12, -2678697.50
65, 0, 231111.953, 1013838.56, -2605073.25
66, 0, 116656.273, 991643.250, -2527428.50
67, 0, 4984.89697, 968763.250, -2443330.50
68, 0, -100109.188, 938072.000, -2344780.00
69, 0, -202285.391, 906791.875, -2239795.50
70, 0, -302747.281, 877190.750, -2130908.50
71, 0, -401996.375, 850032.562, -2019023.00
72, 0, -500278.594, 825524.812, -1904491.00
73, 0, -597651.312, 803611.812, -1787504.38
74, 0, -693831.812, 784040.000, -1668339.50
75, 0, -787678.062, 766258.812, -1547724.88
76, 0, -875558.562, 748983.375, -1427826.25
77, 0, -945450.750, 728534.562, -1315736.50
78, 0, -1009835.75, 708211.625, -1204047.50
